aasno,priority,ingress,src_mac,dst_mac,src_ip,dst_ip,src_start,src_end,dst_start,dst_end,nw_proto,action
1,171,3,00:00:00:00:00:00,00:00:00:00:00:00,211.116.0.0/14,10.0.0.0/10,135,168,15,161,1,Deny
2,164,3,00:00:00:00:00:00,00:00:00:00:00:00,204.229.128.0/20,47.160.0.0/15,122,157,28,178,1,Deny
3,24,3,00:00:00:00:00:00,00:00:00:00:00:00,55.96.0.0/11,189.0.0.0/8,90,178,8,162,1,Allow
4,151,3,00:00:00:00:00:00,00:00:00:00:00:00,192.96.0.0/12,189.224.0.0/13,72,136,40,85,1,Deny
5,27,3,00:00:00:00:00:00,00:00:00:00:00:00,98.195.242.112/30,183.72.0.0/14,69,160,5,55,6,Allow
6,79,3,00:00:00:00:00:00,00:00:00:00:00:00,232.128.0.0/12,247.168.8.0/22,186,196,48,180,1,Allow
7,148,3,00:00:00:00:00:00,00:00:00:00:00:00,160.124.115.224/29,236.64.0.0/12,65,196,116,152,6,Allow
8,96,3,00:00:00:00:00:00,00:00:00:00:00:00,130.234.0.0/18,143.95.192.0/18,13,128,167,183,1,Allow
9,42,3,00:00:00:00:00:00,00:00:00:00:00:00,126.246.192.0/20,148.0.0.0/9,6,124,24,123,1,Allow
10,156,3,00:00:00:00:00:00,00:00:00:00:00:00,123.40.0.0/13,94.128.0.0/9,84,133,61,120,6,Allow
11,143,3,00:00:00:00:00:00,00:00:00:00:00:00,51.192.0.0/10,45.192.0.0/10,2,119,69,88,1,Allow
12,65,3,00:00:00:00:00:00,00:00:00:00:00:00,109.243.0.0/17,117.32.0.0/12,4,185,106,139,1,Deny
13,122,3,00:00:00:00:00:00,00:00:00:00:00:00,198.0.0.0/8,246.144.0.0/12,33,199,103,172,1,Deny
14,177,3,00:00:00:00:00:00,00:00:00:00:00:00,67.61.18.188/32,105.32.0.0/11,13,190,116,183,1,Allow
15,123,3,00:00:00:00:00:00,00:00:00:00:00:00,7.101.64.0/19,168.192.0.0/10,7,152,147,198,1,Allow
16,18,3,00:00:00:00:00:00,00:00:00:00:00:00,244.213.176.0/20,177.116.146.48/32,60,198,99,193,6,Allow
17,135,3,00:00:00:00:00:00,00:00:00:00:00:00,111.192.0.0/12,114.60.65.141/32,42,108,125,192,1,Allow
18,143,3,00:00:00:00:00:00,00:00:00:00:00:00,129.131.0.0/16,1.180.0.0/16,48,161,33,120,1,Allow
19,192,3,00:00:00:00:00:00,00:00:00:00:00:00,13.229.35.16/29,38.86.0.0/16,61,89,90,170,6,Allow
20,34,3,00:00:00:00:00:00,00:00:00:00:00:00,164.0.0.0/10,166.0.0.0/8,3,150,74,200,6,Allow
21,42,3,00:00:00:00:00:00,00:00:00:00:00:00,0.14.224.0/20,141.97.229.32/30,77,161,21,139,1,Allow
22,117,3,00:00:00:00:00:00,00:00:00:00:00:00,108.0.0.0/8,42.136.92.152/32,52,104,25,165,1,Allow
23,136,3,00:00:00:00:00:00,00:00:00:00:00:00,201.141.160.0/19,255.232.0.0/13,45,175,66,136,6,Deny
24,88,3,00:00:00:00:00:00,00:00:00:00:00:00,255.128.0.0/9,113.224.0.0/11,81,122,31,121,6,Deny
25,146,3,00:00:00:00:00:00,00:00:00:00:00:00,60.177.160.0/19,93.121.83.133/32,124,142,128,130,6,Deny
26,174,3,00:00:00:00:00:00,00:00:00:00:00:00,212.0.0.0/10,141.192.0.0/10,8,168,53,106,6,Deny
27,137,3,00:00:00:00:00:00,00:00:00:00:00:00,112.120.0.0/14,255.238.128.0/17,87,169,78,80,1,Allow
28,15,3,00:00:00:00:00:00,00:00:00:00:00:00,160.128.0.0/13,243.128.80.0/21,44,154,62,168,6,Deny
29,93,3,00:00:00:00:00:00,00:00:00:00:00:00,64.169.230.32/28,68.0.0.0/10,142,170,29,74,6,Allow
30,149,3,00:00:00:00:00:00,00:00:00:00:00:00,178.79.64.0/18,68.152.16.0/20,3,58,21,113,6,Allow
31,28,3,00:00:00:00:00:00,00:00:00:00:00:00,196.96.0.0/12,43.128.0.0/9,18,63,139,194,1,Allow
32,178,3,00:00:00:00:00:00,00:00:00:00:00:00,205.92.211.96/27,129.172.160.18/32,7,167,143,147,6,Deny
33,30,3,00:00:00:00:00:00,00:00:00:00:00:00,198.225.68.0/22,221.173.210.173/32,64,71,48,180,1,Allow
34,20,3,00:00:00:00:00:00,00:00:00:00:00:00,35.212.144.71/32,172.123.192.0/18,28,198,68,153,1,Deny
35,18,3,00:00:00:00:00:00,00:00:00:00:00:00,0.0.0.0/10,16.96.0.0/11,84,162,136,199,1,Deny
36,67,3,00:00:00:00:00:00,00:00:00:00:00:00,65.208.0.0/12,150.100.0.0/14,4,91,145,180,6,Allow
37,73,3,00:00:00:00:00:00,00:00:00:00:00:00,237.36.0.0/15,141.176.0.0/12,38,97,150,199,6,Allow
38,199,3,00:00:00:00:00:00,00:00:00:00:00:00,78.95.144.159/32,23.128.0.0/9,19,41,51,72,6,Deny
39,130,3,00:00:00:00:00:00,00:00:00:00:00:00,162.213.191.224/27,28.202.220.0/22,73,180,10,144,6,Deny
40,180,3,00:00:00:00:00:00,00:00:00:00:00:00,248.104.0.0/14,37.152.0.0/13,24,92,139,167,6,Allow
